topic	weight	words
0	0,06752	christus god gods wilt wart laet horen mens wees moeten toch worden wereld och toe wort godt verstaan liefde klaar 
1	0,00268	gods god vlees wart schaepkens nieuwen iare bloed edel eigen alle ziel smelt ras mare condy fel brouwen wolf rebel 
2	0,00802	hun godt geven waar vreugde gods kwaad wees vrome dood eeuwig oock licht deese nooit naar sijn staat ieder deugd 
3	0,06584	godt godts mens wilt werk goed kwaad heeren altijd godes zonde doden deugd eeuwig woord sterven tijd zieden vrees menschen 
4	0,00866	coninck david godt daniel israel spreken saul tobias oven achab leeuwen doden susanna koning haman hand drinken man geven dochter 
5	0,02003	zee schip varen baren wind ree schipper mede weer zeil hoog land menig boord storm haven reis winden klip voort 
6	0,0107	zoo kerk goods waard deur christus zeer godes iae christen toe wezen nieuw toch hen eerst aen vlees end goed 
7	0,00262	drie snel ionas spaer patiency laden kort ginck vloot toe reis rebel sal rozijn sprack rompompom hielpt hoofd briefken groen 
8	0,00572	liefd blijk gunst lieven n't armen kunnen oorlof nemen aensiet liefde leden tonen vvt elk kunst feest trou rouw sohay 
9	0,03822	twee bruydt bruydegom vreugde trouw wens bruyt paar vrede echt geluk liefde bruyloft zegen mede bruyd vrouw beiden min bruygom 
10	0,00462	kees margriet wijf nauw dit had reden wit schijnen tonen hoofd zin roepje keesje myn leden stijven ende trouwen kakken 
11	0,05702	kwaad vals tong boos vol schijn haat snood venijn bedrog mond bedriegen nijd list waarheid spreken verleggen liegen daad boosheid 
12	0,10741	gheen ghelijck gheven hart recht hert sijn ding nae maken dag waer gemoed godt wees worden kracht begeren gods haer 
13	0,00997	geus paus moeten graef prins vive geusen stad menig slaan waren binnen willen dood haerlem krijgen schieten dobbe papen spaengiaerts 
14	0,01696	dijn godt end dies woort syn dijnen heere christ noot volck doot haer eewich siel fijn loff herten helpen over 
15	0,00385	heb bruyloft heen tijd volk gasten waren bidden avontmael past gedoen ossen bezien recht kopen plaats passen best zede wees 
16	0,005	daphne roepen vlucht sarila min snel phoebus diana loop boom apollo vier deernis lopen jagen stralen vader diaen volgen toeft 
17	0,02167	kom eens weer jij hey mede meisje vrij meysje zoen hou wed eerst bent zoenen kusje stil meid klein aardig 
18	0,00539	ghoed elk lust waard maackt enten deugd goods kwaad god lieven mens waan gheen dees elck zeer zyn begeren dit 
19	0,03624	wijn drinken vrolijk laet lustig eens glas bacchus vol wyn bier nat maken vat edel bachus brengen schenk goed vrij 
20	0,02067	prins land weer kloek schepen landt held vloot soldaten macht landen kant brengen mede heel bloed geweld helden victory steden 
21	0,01046	god syn heere duren inder haer goedheid eeuwigheid zijne enten gelijck haren aen wart godes mijne eewicheyt goedertierenheid duert zek 
22	0,02904	moeder maria soon maeght godts maghet godt hemels groeten kind zuiver boven troon dragen zondaar waard maagd baren wezen hoog 
23	0,01634	man vrouw wijf vrouwen vrouwe mans trouw adam haer trouwen lijf goed echt mannen vouw hoofd huis vlees been twee 
24	0,0073	vriend miin mijnen sijn onder evoe lief ogen ghelijck barsten mijne vriendin liefelijk wijn scholen reuk hoofd liefste dochter zieden 
25	0,02632	vader moeder kind dochter jong lief spreken och waar heb man laten nemen alzo over stout vaders broeder willen dag 
26	0,09854	hert ziel liefde wilt laet beminnen siet godt jesu zonde eens komt doet alleen wereld vol naer eeuwig zin geven 
27	0,0571	strijd vijand tegen strijden geweld macht kracht sterk veld zwaard bloed hulp brengen vrij onder wapen slaan hand kloek vast 
28	0,02796	brand venus cupido schicht min vier pijl kracht vlam wicht bogen klein hart boog pijlen schieten gezicht vliegen scheiden branden 
29	0,041	zonde kwaad schuld zond straf vergeven zenden genade misdaad bloed recht straffen zondaar sonde boet zwaar wet boosheid bidden wonden 
30	0,00825	kinnetje herodes ster kind gheboren geboren bethlehem waren waar coninck drie waer hen wieroock gout ende klein klaar sterre maria 
31	0,05501	zingen vreugde zang lof spelen blij vrolijk hoog springen spel stem maken geluid horen lied nieuw kwelen keel lang zengen 
32	0,01663	zoo god gods worden iesus zeer waar nooit gemoed onz goed eeuwig nog christus heemels staat wees zelfs hert weereld 
33	0,00525	wacht woorden daad hart vedel niemand recht acht verraden lering eigen vallen schaen lijst herbaren boom schade beloven jaar jong 
34	0,00155	alleluia noe vredig iesulein deriere raal isabel vrijen seigneur geesje faal laal kindelein freudenrijckes xaveri hertslieves eeuvve lieflicker droech strelen 
35	0,00283	ian griet zein claes pieter lang arent jan hans lys nemen deur lopen roe boeren roepen zulk grietjen wijn elkander 
36	0,01385	hun myn god volk dies syn goed dag steeds heeren ziel elk heere zek nooit recht zoo naâm staat hart 
37	0,01233	godt godts deugd vreugde boven waer hert goed liefde licht eeuwig hen ziel heeft hun loven altijd nen gezicht geniet 
38	0,10733	min hert ach hart lief zin trouw smart ziel minnen liefde waard wreed gunst pijn heb droef klacht vrouw eens 
39	0,00481	phillis minne philis hola couragie min amarillis phyllis klok vreugde garen toe houden vrij minnespel fillis zee ras nat corydon 
40	0,05817	nog dog zeer zoo magge myn zoete heb worden eens weg ben leggen staat tij waar zult wezen vol zonder 
41	0,1218	zee water hand weer heen wind lucht ten vast onder sijn vier maken slaan neer zek vlucht lang grond over 
42	0,0413	godt dood heere vader enten zonde dijn wart heilig waard ende verheffen lof inder god sijn vlees hemel mens gheboren 
43	0,00233	heyligt baard droefheid hond magge hondt wezen gunst welcke welke bid duuren goedigheit all eeuwigheid heyligheid kond kost kennelijk sta'ig 
44	0,08211	gods godt god heeren heere enten zondaar elk blijven wees christus geloof kwaad werk gheen eeuwig fijn woord vrij wart 
45	0,00607	jezus god kom jezu gemoet ziel oog leggen myn liefde dwaas eens heil lam dog gezicht wijsheid heilig zonder zelfs 
46	0,11739	godt lof vader loven prijs boven god hart eeuwig heilig naâm sijn heere altijd soon genade laet geven grond zingen 
47	0,0388	spijs brood eten wijn drinken drank vlees lichaam honger bloed geven tafel voeden broden dorst eed dit hemels spijzen dis 
48	0,03472	liefde lieven liefd hart hert min lief kracht beminnen minnen dit boven vol ontsteken deugd zelf grond rein liefelijk waard 
49	0,0372	ach tranen zucht droef klagen klacht schreien smart droevig wede wee hart vol helaas kermen dagen horen nacht traan pijn 
50	0,01377	volk israel abraham heeft egypten zee ioseph moyses godt moses doe pharao jacob laden iacob maken land zaad heen water 
51	0,00143	amor qui mei nobis cum kik dulcis non mesie hendrick rex nos iesv mayn scho quàm gloriae quam ghay quem 
52	0,00341	christus ende sprac gods wart heeren meyboom staak sijn deugd zingen dood geloof bloed schout water sprack wilt jan moeten 
53	0,00463	end dijn god deinen huur fijn myn dyne dyn vrij heb zek mit gaar męr weeg dyns dyner heefst binnen 
54	0,06238	hoog pracht rijk goud wereld vol kroon ieder waar goed deugd gelijk trots lust mens hof rijkdom pronk schijn schat 
55	0,0411	groen mey tijd zieden winter kruid zingen vreugde vol veld gras bloemen bloeien bomen liefelijk vruchten groeien weer mei velden 
56	0,00437	adieu vrienden elias mede baal lijf filis vree gild hout regen heersen trouw scheiden emanuel meel vertrek heden hans huys 
57	0,01504	nieuw iaer jaar jaer oude tijd nieuwen int oud nieuwe iaar waar besnijden gaar klaar dag wilt zwaar tijdt voorwaar 
58	0,01068	end dijn god volk dijnen hun hebst sijn dies hert kracht hoog zondaar indië vast recht enten mits sal vrij 
59	0,0851	vreugde lust rust hert ziel vol gemoed hart vermaak wanneer waard vinden lusten wens smaken vermaken smart blij verheugd lang 
60	0,0255	zoo zeer zich zonder staat zal ziet zien wezen zult iezus zelfs naar elk waar zoete nooit zenden zinnen neen 
61	0,08278	dood sterven doden ziel graf ach droef wreed waar droevig leed rouw straf derven pijn bloed droefheid vol fel sal 
62	0,00292	zien tsa besje tha sol credijt waeltje iager houw dom beer waaltje jas honing piere schaar jij weer besjes knipluis 
63	0,00222	ich das mein vnnd mir mich ein nitt dir zei sein dich hertz lieb jch mitt hab dein woll mier 
64	0,0124	kind toen meysje meisje spreken nog juffrouw heb niemand iuffrouw pleizier dogter huis jij meid mede daerje venus jong kennen 
65	0,00841	hun godt fijn glijck oock heere vijand vrij siel vanden woord node worden goedheid sijn daerom godts naâm dies mijnen 
66	0,03016	wereld vergaan haast tijd mens sterven ijdelheid vlees dood eeuwig ijdel rijk doden kort werelt vreugde adieu kwaad waer dwaas 
67	0,01576	geboren stal soon kind vinden hemels bethlehem engel brengen davids dit zoeken godes mens herders arm vrede zingen maria zalig 
68	0,04141	herder groen vee harder coridon schaepjes herderin herders onder waer weide veld ach min gras tyter son harderin cloris wout 
69	0,0188	wet woord recht houden waarheid knecht weeg leer rechten heilig hart wetten oprecht lust gebod heb verstand woorden wart bevel 
70	0,01417	vvant venus goden vvilt pallas mars n't comt paris vvat pan apollo phoebus iuno vvaer diana vvil flora kunnen oock 
71	0,00203	vous kwee mon les qui poeder plus been pour bon suizen coeur vos que sans touwen nous pas cessie dans 
72	0,0292	vrucht vruchten zaad boom groeien bloeien planten vruchtbaar brengen zaaien dragen wortel blijven zieden wind blad wassen vergaan spruit kind 
73	0,00267	zieden leeuw vlas gelaat kort dingen giericheyt jonkheid goed teek schrijden ghedencken dauwken dorilis verzaad hoogmoed verbaasd matteke schots bachi 
74	0,20097	god goed kwaad mens waar waard deugd best tijd gods lust zelf alles zoeken geven alleen zek recht blijven ten 
75	0,03765	mond ach kusje kussen min kus venus lipje lust vreugde lippen lusjes ziel zieltje roosje lief zoete hemel kust schoot 
76	0,05144	lief trouw ach min hert liefde ben beminnen heb adieu wilt eens liefste trouwen vrouw jong scholen spreken engel ander 
77	0,00973	hemel zee vol aard mens ten siel sonne berg ghelijck dier fijn regen over looft schijnen weder zondaar vee vogel 
78	0,01099	eeuwig mens siet hels och denckt schepper aensiet hemel oordeel hoort eens hel pijn loon duren hellen geschapen vier lang 
79	0,01179	spreken christus water iesus sprack heere vrouken vragen man ende vol meester doop ben christum martha hoort zondaar antwoord genezen 
80	0,03809	haer wit schoonheid roos twee leden scholen vol root glans bloem rood net bloemen witte waer gelijk blank hoofd handen 
81	0,00268	dijn dij god hun hij toch volk land zek stad gods lang don worden maraen heil heren zijd bosch meriton 
82	0,01088	vrede twist peis mede rust band elk eendracht geven herders verstand wort vreedzaam reis wens stil vree tweedracht gode oorlog 
83	0,00433	doodt kyrie n't christ eleison iesvs eleyson loff hout nacht comt dien christvs zijd godes canneken off vaste nieuvve hadd 
84	0,00126	tan voeden babels knecht let drek schapen toereloere baals religioen arm juffrou vat ran dronck papen lutsenborch schinckt paap couraidge 
85	0,03253	n't hun hert oft eens gheen min laet naer t'is woord gheven sou toch noden syn aen scene waer mijnen 
86	0,02273	goed rijk geld zorg schat arm armen gelt rijkdom schatten klein zorgen morgen mens overvloed arbeid kost vrek dief armoede 
87	0,00429	prins oranje koningin koning viva spijt staet vorst kroon aen hemel geven vivat edel wilhelmus stam lang vrij koninginne roepen 
88	0,00726	boer hun boeren goed meest grond werk laden vos edel geld achter g'heel zult kost ginck woord vragen wever zwijn 
89	0,12382	lijden pijn druk troost zwaar verdriet smart hart vreugde verblijden hert sterven vol hoop zucht och noot tijd leiden leed 
90	0,00625	hemel nog hert hemels zieden zich ten sijn leggen staat heyl ligt oog maackt heylig eeuwig heen zondaar dalen scene 
91	0,01452	godt ziel godts haren blij haer vreugde vinden zelf troost liefde worden hadd klaar rust wees n't gheen heel pur 
92	0,00331	lof klok slaet slaan zoeken stof pen ver fraai ingae vermeren poort konst coningh falalai sobbedomdyne maet scholen wiens eeuwighe 
93	0,01857	god hemels godes haer waer grond ziel welck aard goods aen hemel och g'lijck wilt woord worden zond deugd zieden 
94	0,01675	zich worden nooit zelf eens hun hen naar zeer gods weder god zal wezen waar mede magge niets zyn steeds 
95	0,00189	alleluja lier viva und tiere tieren jeck menen toe let nicht bie miede ein schöne ond omnibus sinds cornua cornibus 
96	0,00394	alleen waar min anders weeg weet glas oorzaak waarom zingen granida allerliefst weg leggen menscheliefde segh heft vrouw beuzeling roep 
97	0,00139	uwz fen god gunnen toe mei him naad sil uwt dear ijn hert ney oer for trog goads ynn wol 
98	0,0024	deur bom kleur houje leen oordje woortje bommelalire din mary huis heu rust bore lin lom dire quickmen vulcanus smeden 
99	0,10726	heere wilt bidden god laet ziel noot hulp helpen troost godt genade altijd alleen hand kracht maken helpt vijand zonde 
100	0,0643	vreugde deugd jeugd jong wilt tijd behagen vol laet minnen sal jaar altijd reden dragen zieden ieught bloeien zin wees 
101	0,00331	jager hun fal waren geven stront twee onder eten deur truyken zate dansen lammeken hansken sussen hoofd alzo hups faderie 
102	0,00811	hij ghij wij sij hart lief minnen ende god maagd altyt zeer alzo lof groet zijd iesus inder zidel jesus 
103	0,01854	kind mens stal godt klein moeder kindt siet teer sus beest kinnetje gheboren arm leed comt doek n't stro komt 
104	0,01219	godt zek ten hert sijn haer lijk ren woord noden kracht godts laet wij heen oog waer node goedtheydt diep 
105	0,07711	zien denken roepen scheen nemen spreken lach laten waar doe kennen heel viel toen zat quam heen vast hand vol 
106	0,01288	jij nauw heb nou och meysje jou iou jan loop kom moer meyt ben krelis trijn datsen gieren mooi vrij 
107	0,0911	man maken krijgen mede heel loop eens best vrij twee trouwen huis ander zit gelt lijf goed oud raken weet 
108	0,0105	stad ierusalem muur stadt boven binnen poort straten bouwen jerusalem eens huis schat scholen amarilli goud zalig och maten beminnen 
109	0,0063	iesus iesu naem thomas uwent ziele iesum heyligheyt geloof jesu kortjakje midden zijd ignatius onser thoma dwingen och ecce week 
110	0,02148	gods god wart christus uan gheen heere wereld uader dood ende gheuen christum enten mens spreken rijk zondaar uoor liefde 
111	0,06215	waren spreken godt ginck heeren haer heere volk worden twee laten heeft over dag waard huis haren tegen gods vinden 
112	0,1159	ziel hert kracht ten eeuwig gunst heil goed hoog steeds boven genade hart gods alles ach waar geven vader weer 
113	0,00379	baard hoofd zot likken zein pover licke daermen liefelijk hout dauw broeder balsem zoen vrede siet chevael fille hermon ghelijck 
114	0,00366	mof kermis brant roepen vlieger heel poot dansen neus yder keel welcoom schuddegat proper sijn staart top spel spelen waren 
115	0,10715	god enten gheen waard deur tis elk zieden ten kwaad tijd zulk wort haer ghelijck zondaar zeer raad haren indië 
116	0,00423	jck ander soech zoeken zieden eens verdriet uenus wegh oud waar noyt tijd vul margriet hof besje zydy oude misschien 
117	0,00464	zoo hert zich boire zelfs godt godts deuchdt nooit mens waer me'e woord wezen iets zeer waerheydt licht zenden kwaad 
118	0,01769	sint godes godt hemels hart doden sijn goods noden ziel deugd haer aen geloof vroom geeft woord bidden iesu lof 
119	0,02295	ende godt zonde wereld wilt och kwaad ontvangen ziel dood heere weeg armen wees verloren spreken zondaar god vinden laten 
120	0,01553	end godt hen zien wees maken myn dies n't deur kracht vol gans grond prijzen tijd spreken waard mens goedheid 
121	0,04572	bloed kruis christus doden lijden dood vader sijn kruys cruys verrijzen wonden jesus hoofd dragen lam roepen soon mens sterven 
122	0,00606	lieffd lieffde lieff enten reen int vol lieffden minnen waard nimphe gheen deur princesse venus liefste rein doort zaad trouw 
123	0,01693	jesus iesus zegge goodts geven zijd zenden toch vader gelijk deese woord soon doden godt sijn wees mens welke vaêr 
124	0,00337	zondaar klooster pater tien mirakel luys begroeten duyfje wonen dier grieten joncker knie vlo dikwijls luysken paters muil fluweel los 
125	0,00354	alzo loop foire behagen doort sulck zang jagen spel zingen maeckt koen benijden verstand horen vroukens trompetten praten ladron iagher 
126	0,00822	indien leer jok ieder yder los romen naar horen schelden lijf krijg minder hals weinig komt kop smaak steen and 
127	0,03132	lief liefde hart hert venus troost princesse minnen waar int ben wees enten heel deur dienaar/diener zwaar vreugde toch reen 
128	0,00537	celestyn wijl celestyne amarant hart wen pieragie toen gemoed zen maagd tgun fidamant leed gunnen minn gaede heeft harten geef 
129	0,0025	vrolijk vrolyk vrolijck verlaat hebdy gunst weldoen staat eeuwig jesum zingen vreugde vier schatten deugd hemels schat dingen werken boven 
130	0,00955	vis vangen net vissen mede jagen siet netten boer zieden jacht heel komt schier weinig voort jager lopen voerman botten 
131	0,05889	godt godts hemels mensch worden sijn och godes goed hoog heel woord rijck waard dit hemel doodt noden landt haer 
132	0,06104	min liefde nooit zoo myn nog hart eens waar ziel smart vrij alleen zinnen naar beminnen zien neen zal hert 
133	0,07918	vreugde reen klaar zondaar wilt wees klein fijn scholen haer seer blij vol vrij liefde deugd enten gemeen plein prijzen 
134	0,07907	volk hoog god heeren lof macht naâm hand huis hemel heere grond rijk geslacht aard kracht vol ten heilig koning 
135	0,19473	zelf mens waar recht dit werk hoog spreken maken woord verstand vinden wijs eigen worden ander alleen wijsheid kracht geloof 
136	0,02891	god gods mens godes kind waard heeren goed dood hemel wees alleen eeuwig nood goedheid werelds vader wens schepsel rijk 
137	0,07508	licht nacht dag gezicht son zon oog ogen glans stralen klaar duister hemel slaap schijnen verdwijnen hemels dalen wanneer sterren 
138	0,07145	ben heb mijnen och mijne hert weet alleen ziel lief vast waar troost lang wanneer hart grond spreken zieden kom 
139	0,01364	myn hert godt hun naer jesus gheen altydt maken oft syn ghelyck vier zyn alleen uyt aen leiden maeght hadd 
140	0,00682	n't zek wiens worden waar sijn vaak mits gelijk leiden syn deur daarom dies zieden die't uyt siet staat hard 
141	0,12027	spreken voort god zondaar weer mede twee haer brengen ten waren heeft man aen horen geven sou sijn tijd drie 
