topic	weight	words
51	0,09521	volk god hoog macht hand naâm heeren zijne zek ten grond land huis onder heere geslacht sterk rijk over vijand 
52	0,06158	god enten tis wort waard gheen ghelijck int zieden deur elk wart indië maken tijd zulk einde recht brengen hoog 
53	0,02463	vruchten vrucht zaad boom brengen planten woord zaaien groeien vruchtbaar hand dragen bloeien spruit goed wortel laden voort vinden land 
54	0,00192	dansen zingen doort springen zate koster jan waren knipluis lollepot meysken klein lammeken los suiker eten twee bagijnkens voet lijsken 
55	0,09265	ben god ziel heb mijne hert heere mijnen hoop hulp ogen dies oor lang bidden hoog dag gans kracht wilt 
56	0,01483	zich jesus nog myn hert jezus naar dog liefde lam worden gans niets bloed hart vinden alles maak recht vrij 
57	0,00339	gunst zot hoofd eeuwigheid baard dauw likken balsem broeder liefelijk duuren licke goedigheit hout mede hermon vrede siet god wonen 
58	0,0146	n't op't die't syn vaak einde zek dies vanden door't staat jeder deur gelijk doodt wiens scene lach botten hetgeen 
59	0,00149	kik mei sinds cornua cornibus omnibus pierelala kick mayn scho ghay vorssemossels exaltatis deu nayt mein mors nie mossel lors 
60	0,00453	schoen deur lief int groet oeck voer goed tis toch veenes soe god prinse prinses deesen diet hij schoene ten 
61	0,00372	neen heen denken wijs karn leder flonk werk vermaren mening gouverneur soud mits wijsheid sal sotheijt tvoorgaene vorst carel hertogh 
62	0,00125	inder eewicheyt duert goedertierenheid eeuwigheid dueret goetgunsticheyt gheloof sól veruolghers scheid danck hoop swanelijn onder gheduurt ljeafke goedigheid vriendelijk moorghen 
63	0,01696	dijn godt end syn woort heere dies volck dijnen siel eewich loff doot menschen waard naem gheen helpen noot godes 
64	0,14114	wilt hart goed laet altijd vrees wijsheid recht leder heeren waard werk houden zoeken kwaad vast behagen wet weeg tijd 
65	0,08225	spreken man voort vragen vinden heeft horen waren zien woorden sijn aen twee klaar waar worden heen roepen weer terstond 
66	0,16864	god kwaad mens goed waar deugd waard zek recht wanneer alles maken leed vreugde gods geven tijd houden zelf weet 
67	0,03302	lief hart minnen liefde eens waar wilt venus vreugde beminnen wees troost sou mocht ben heb mond treuren princesse allerliefst 
68	0,01646	mey groen bloeien groeien lustig mei bloemkens vreugde elk planten voort zang vruchten pleizant reen virtuut brengen spruit aensiet onder 
69	0,00194	vous mon kwee les qui poeder plus been pour bon suizen coeur que vos touwen pas sans nous dans cessie 
70	0,00991	godt zek ten sijn ren lijk wij kracht node reden haer dies einde tis aard off heil ter gunst diep 
71	0,00142	blom siel mondeken dauwken g'lijck satyrs fles fuyckjen astrea kuss krom eeuvve gentsche saron velerlei vlecht staak syn muwzman schat'ren 
72	0,01892	god hemels godes haer grond waer aard deugd waard wilt welck och ziel goods hemel bidden woord hof g'lijck zond 
73	0,00231	phillis lier let damon tiere tieren amarillis kermis toe coure courage boy nyza kustme siante amaril liegen chloë zel letten 
74	0,0193	hulp sterk macht helpen hand kracht vijand tegen ding vast schild hinder bewaren schaden hoop vallen betrouwen bijstand bouwen troost 
75	0,00304	ian griet hola loure jan claes hans margriet sou kooptmen louw grampeer grietjen toure hou passchier moy teunis bruyloftfeest kees 
76	0,00373	alleen anders leggen weet niemand oorzaak baat menscheliefde streng nagts helpen indien letten wetten oud roosemonde wijn uerlaten vreemde ioffrou 
77	0,0021	vrolijk vrolyk vrolijck weldoen staat vro t'saam gunst hemels eeuwig werken wereld aarde vrede mede schatten dogen smaad zelden haat 
78	0,00121	hout houw canneken vaste fluyt mare paeys vrancrijc paas zoen mits tspaens streyt hongeren proper pauvvels dianneken laetet peeter europa 
79	0,01462	godt ziel godts haren haer vinden blij zelf vreugde troost liefde worden rust klaar hadd wees gheen alleen zaak n't 
80	0,06298	krijgen gelijk eens vol maken heel lijf gat spel zit been hoofd net weet huis mede neus twee lest lopen 
81	0,00463	alzo bruyloft heb goudt sulck noden waren heen best snood koningh gasten bidden wees avontmael straten ossen knecht arion maaltijd 
82	0,086	ben och heb lang eens hert mijnen troost ziel maken waar hart wanneer lief weet zwaar zieden tijd verdriet soud 
83	0,01464	twee honderd drie vijf vis duizend vangen net klok vier jagen cessie jaar slaan acht waren seef jager tien vol 
84	0,07002	lief trouw min ach ben heb hert liefde beminnen wilt spreken trouwen eens jong klagen vrouw wees ander neen zin 
85	0,07809	min ach ziel lief eens hart hert trouw waard smart zin pijn minnen wreed goddin heb vreugde bidden vrouw zieden 
86	0,00208	jaar zot soud maurits dag verloop enten goossen wijn voeren koop kales bedanken graaf kort ijver passen weken wafels rapen 
87	0,00154	uwz fen god gunnen toe mei him naad sil uwt dear ijn hert ney oer for goads ynn trog wol 
88	0,0263	jij kom nauw heb ben eens vrij waar hey nou weet neen och loop sou bent jou moer iou mooi 
89	0,02698	zoo zeer zich zonder zelfs zien staat zal ziet wezen nooit waar elk zult zinnen naar hart zenden zijne vinden 
90	0,03568	brand min venus vier cupido schicht pijl vlam kracht hart wicht klein gezicht minnen branden licht oog vliegen schieten boog 
91	0,00533	dag godt gheen werk enig beelden naast beeld maken ander god zelf suldy vals laatst naâm begeren wijf huis wees 
92	0,0021	boer vos gild mevrouw soldaet mesie snood heersen vostjen vree laura kar kraen christenrijck huysman doden slijpscharen ker gelijk haagstee 
93	0,00936	abraham spreken iacob godt isaac sijn heere man sara heeren iob tobias knecht jacob soon wijf twee nemen dochter lazarus 
94	0,00588	ende ben vader spreken heb wilt beladen weeg zonde ontvangen mijnen godt wereld verstaan aanschouwen oft armen hart zelf woorden 
95	0,0193	weeg wees och klein heere ontvangen bereid weinig rijk uitverkiezen einde eeuwig heeren vrezen blijven broeders prijzen zijde altijd kroon 
96	0,06241	gheen ghelijck gheven sijn iae zelf hert soud ding weet nae deur zieden waar wees noden gemoed hart waard gheest 
97	0,04356	mond min kussen ach kusje kus ziel vreugde eens zoete lipje venus lust kom myn blussen liefde zoo lippen lief 
98	0,04149	groen vee herder harder schaepjes coridon onder min ach herderin gras waer cloris herders veld lief tyter wout harderin weide 
99	0,00336	moyses volk israel aaron woestijn vier beelden afgod moses kalf egypten zulk dathan menigte keren tegen zee plaag korach heeftse 
100	0,02307	kruis lijden bloed kruys dood cruys sijn roepen doden slaan doorn vader hoofd dragen lam wonden pijn hout hart mens 
101	0,00547	arm sijn blijven heeft goedheid heerlijk vol vrij alle duren barmhartigheid god maken end rijk vrees grond sterk achten genade 
102	0,00269	deur kleur houje leen oordje woortje weeg boom dag kaf wet nacht waard vergaan welk blad zondaar wind spotter godloosen 
103	0,00505	tsa tha lusjes kusje hertje lachje ooit nachjes suchjes oogen vrij mary kusjes geesje kluchjes gedachjes lonkje zieltje roseliine lonckjes 
104	0,07971	christus gods wart christum mens waarheid heeren kwaad vlees paulus god liefde klaar worden horen godts spreken woorden hoog dit 
105	0,03747	gods godt heere gheen zondaar enten end elk onder vrij menschen ghelijck nae god heeren zulk oock laet ding werk 
106	0,00899	prins paus graef geusen moeten stad steden menig geus jck prince edel spaengiaerts schepen haerlem slaan lant godt binnen willen 
107	0,00219	graef velsen proper floris godt dieu hemel gerrit geeraert zang blijven vrij koninghinne wip selv zaad griet gehoor hoog geweld 
108	0,00205	bom baard droefheid bommelalire hond hondt welcke welke sohay stront hou zaaien behoeftmen brouwen quickmen dom condy procris toe mars 
109	0,00211	thee pover vissen schöne wilje zede volgen hand chevael fille zou und belle rarikiek portugael kijk keel vyva get hengel 
110	0,04013	min liefde hert hart beminnen smart minnen zin nooit alleen ziel vrij neen zoo myn minnaar zinnen trouw nimmer gloed 
111	0,01647	end godt hen zien myn n't wees gans kracht deur maken volk dies prijzen tijd gemeen spreken wilt alleyn vol 
112	0,04218	lijden druk kruis verblijden zwaar strijd verdriet troost lijd strijden leiden noot worden ten god leed pijn tijden dragen moeten 
113	0,00562	venus helena paris mars troyen goon goden pallas heleen griecken juno net doden heeft sijn cupido oock jupijn iuno verkeer 
114	0,01	godt hun fijn heere glijck worden vijand oock godts volk dies ghelijck siel vrij zeer vanden mijnen daerom woord helpen 
115	0,00385	kom toch zidel godt vvy myn vvat waard zyn altyt gelijk kool vvaer n't heere ymandt zijde vvie gemoet kaatjes 
116	0,01408	och doodt naem heel godt me'e gunst dit waard gods steeds mensch vast vrees worden ziele deucht uyt jeucht heeren 
