topic	weight	words
0	0,00852	vriend sijn mijnen lief onder barsten liefelijk vriendin ogen ben ghelijck liefste mijne vinden wijn heb even waer stem honing 
1	0,00481	celestyn inder duert amarant celestyne eewicheyt hart hand worden weer goedertierenheid wijl fidamant wen goetgunsticheyt wedermin boezem hartje siel heemel 
2	0,00238	vrolijk vrolyk vrolijck eeuwig weldoen gunst hemels mede staat nog vier onz heemel vrede zonder kunnen nemen tal verblijd bedroeven 
3	0,05804	sou waar noden waer zieden vrij willen weet ten zegge eens spreken denken zondaar toe lang man beginnen wonder beter 
4	0,05294	wet woord heb recht ziel ben hart mond knecht dag weeg steeds houden oog dies spreken ten waarheid vrees lust 
5	0,00144	fen god gunnen toe mei him naad sil uwt dear ijn ney oer hert for goads ynn wol binnen heere 
6	0,00137	lier tiere tieren let kermis boy letten boela geertenbergh kaeper traentgens zang kwak mansfeldt los kramen ianoom aar eenigheyt liere 
7	0,03732	dood sterven doden graf verwerven moeten derven lichaam eeuwig erven einde hel doodt scheiden eens verrijzen bitter bederven sterfte unde 
8	0,00639	alleluia lieven christ alleluya heilig godes zijd christus kinnetje waar soon godt geboren kyrie fijn zek zingen kirieleyson christenheyt aarde 
9	0,00213	zein tuk tan zien let kik jemie hum foey mary mei gieren toereloere levertje gaede kick jan wij wangt knecht 
10	0,06161	godt godts mens wilt zonde kwaad woord goed tijd doden werk deugd siet zieden altijd wereld daerom wees mensch lijden 
11	0,06716	god enten deur reen klaar wort tijd zieden gemeen klein zondaar brengen vrij voorwaar tis zaad voort seer zijd kracht 
12	0,04466	myn min zoete ach nog zoo eens dog liefde zinnen nooit magge lief hert scholen zien zyn vreugde tij zal 
13	0,00466	dag maken godt naast gheen beelden god gods enig zelf beeld vader gebrek wijf werk vals moeder splinter ander suldy 
14	0,00166	heyligt miin wiegen wezen magge zien bid fal kond uil heyligheid kennelijk goossen sta'ig heylig stond knapkoek rela siine poëten 
15	0,05683	god gods christus wart enten dood ende heere wereld gheen christum mens sijn zonde wilt uan rijk wees verheffen alleen 
16	0,00393	hansken zonder gans vis man vangen vader laten groen visscher zondaar water eens katten vissen gansen krijgen hondje verder gansken 
17	0,07421	ziel hert ben troost smart gunst waar kracht heb hoop schuld weer zenden hulp wonden hand weet ach toe dood 
18	0,02754	jesu zonde jesus hert weer liefde kwaad siet vol zondaar alleen wederom ziel zoeken mens beminnen wereld bereid laet mijnen 
19	0,00395	god zeer deur zoo gheen elk ende vvant med zien jck ander zonder niemand vul zulk vrouken volk anders steen 
20	0,00266	been gevonden hinken klank smeden lachen vorssemossels dandara levend hangen open gelijk vulcanus hol weelde camillis huwen bed blussen geven 
21	0,0027	ramp n't couragie zein luister alsulken baard staag die't op't quyne verzweren kuisheid schandt geil lucht brein vals schade naem 
22	0,02693	venus cupido min schicht pijl wicht klein pijlen hart bogen vliegen heel sijn waar brand boog denken oog schieten noden 
23	0,00339	bloed moeder zieden kind lachen rachel haer jammer sterven vers derven duisternis ieder waren wakker tellen oor eerst waar ezel 
24	0,00485	daphne loop vlucht snel roepen lopen boom stralen apollo vier deernis phoebus volgen eens worden leeuwen vader laet schuw wezen 
25	0,00379	jagen vangen jacht vlieger zot schoot schaar licke doelen vliegen roer schieten hout leonora gevangen biron jager stikken touw zwart 
26	0,02653	groen winter mey weer zingen veld tijd gras velden bloemen ieder kruid vol dier lucht elk liefelijk komt bomen somer 
27	0,0016	mof coure let johan toe spreken mevrouw faderie und schipper courage siante sloep amsterdam laden wind apen schol gis hoeven 
28	0,00647	godt ziel iezus gods genade ach bereid komt doet zijne weg zidel goed doden zegen geeft ziet eeuwig zenden vader 
29	0,02905	godt hert deugd vreugde godts ziel waer liefde eeuwig boven eens goed licht altijd aen wonder heeft heel hoog beminnen 
30	0,00456	spelen kwelen spel mal zang malen vrij toch zot aardig vervelen menig troef vallen kunst nimphjes strelen volgen stom weven 
31	0,00237	credijt floris brouwen sou hebdy medecijn waer condy bloed gedoen kwijt vals gerrit vrouw lutsenborch reghen verraden val drinken volbrengen 
32	0,00173	vous mon kwee les qui poeder plus been pour coeur que vos bon sans touwen nous dans pas cessie mais 
33	0,00408	christus hola eeuwig deugd ende zonde wilt meyboom sijn vol liefde wort groen zingen iesus mey water fijn tong schenk 
34	0,02907	jong tijd jaar jeugd oud vreugde dag oude deugd bloeien bloem ieught grijs jonkheid ouderdom fris lang paren dagen ouders 
35	0,0586	kwaad wort vals haat heel vriend verdriet menig raad zieden brengen god boos weeg daad best snood schijn nijd vast 
36	0,00542	water spreken vrouken elias heere ende achab drinken dorst sprack roepen toe naboth man bidden godt spijs prijzen horen wees 
37	0,00213	diens verstand bestuyren hand bruyckt overstorten gode zege wetboeck band rede reden nest lijsjen hecht woord heyntjen zeegens verdwaelde houwlijcks 
38	0,02366	god mens adam vlees gods hemel eerst dood bloed zaad maken geschapen aard hel waard adams eva val zond zenden 
39	0,00321	dijn hij god dij toch dijnen mijne zek zes ziel wij zijd vijf selah zeven ghij hebb sij aar dijner 
40	0,00663	hun griet ende sol boer oft indië hans claes kost scene zat kwaad spreken achter trouwen moeder heb vryster sou 
41	0,00606	adieu scheiden liefd vrienden oorlof hout willen mede blijk likken danken gunst vvt aensiet hoop bestaan vergeten menig wit vrolijk 
42	0,00336	vaak deur syn dies zek jeder n't einde deese vanden haare knipluis tgunt dieu zulk kunst leen nummer gehoor luk 
43	0,00221	helena leander heulen voren coningh sus rosalinde coning heleen lysje vaer wijf coningin conings quantje nonnetje grieten krijt brief jantie 
44	0,01882	jaar keyser paus waer honderd kerck werk eerst tijd kruys volk romen drie onder oud waren bisschop lang kercken twee 
45	0,0064	hemel nog hert hemels maackt zieden ten zich sijn leggen oog heyl staat eeuwig ligt heylig heen zondaar scene soon 
46	0,07342	maken eens huis heel krijgen gelt mede ander vol zondaar halen drinken man lopen eten roepen ten twee hand best 
47	0,01441	venus goden vvant pallas comt mars flora apollo kunnen diana phoebus iuno pan vvilt cupido groen aurora oock vvil ceres 
48	0,0684	godt vader soon hemels godts eeuwig boven mens sijn doden lof vaders macht christus ziel hoog komt heilig kracht wereld 
49	0,00384	zien poot sijn heel keel top maken waren rug lang tijd neus grond honderd zat beer frans staart ree oost 
50	0,00623	geloof god heeft eeuwigheid werk goed liefde krachtig inder broeder aen zondaar siet sal naarstig rijk vrij goedertierenheid verstand arm 
51	0,00202	proper hoofd pierelala foei titus m'entendez gezond mits slot troetelen kriel kindje clorinde vrouwtje teil gebroken merrie verslingerd balzem doctors 
52	0,00284	geld geldt snel rebel rompompom fraai procris gild krom cephalus weyman betalen verhalen rechten glas schaal maisje gezondheid dant ider 
53	0,06166	hoog kroon vol waard ieder deugd lof goud pracht glans hof roem rijk schoonheid boven scholen wiens ten gelijk hoofd 
54	0,02303	man vrouw wijf trouwen vrouwen trouw vrouwe mans twee huis goed lijf echt kind haer vrou raad vouw houden geven 
55	0,00614	hebb zek zelf gelijk t'saam sal haast voortaan staat mits godts mijne wart samen geheel magge selve iesus lieflik heden 
56	0,00209	hun dijn land stad god gods volk worden maraen bosch lang kerk godes heren spaensche heil romen prinz tis papen 
57	0,02818	moeder maria godt maghet soon maeght godts kind groeten hemels zuiver vol boven wezen zondaar maagd baren waard maget dragen 
58	0,01506	god hemels waer welck grond och zond aard ach zonde hemel mijne wien g'lijck wilt toch zieden mens jesu uyt 
59	0,01304	zijd goodts gelijk iesus weet zegge jesus toch wees godt deese geven heel sijn deesen welke vaêr welk zenden ulieden 
60	0,0686	god boos waard haer mens vergaan zieden kwaad recht spreken scene vromen hart haast schande vrome haren weeg sal wees 
61	0,0039	doodt n't loff vleysch wederom off christvs iaar sonden nieuvve coningh keert molenaar phylis christi comt bloedt hadd keren zijd 
62	0,0195	dijn godt end woort syn dies dijnen volck heere siel noot eewich naem helpen enten herten loff doot macht all 
63	0,02513	zee schip varen baren wind ree water winden storm land zeil woeste haven reis drijven schipper mede klip menig heen 
64	0,02813	god gods mens kwaad godt zonde wet deugd wart straf recht heeren waard zelf zek zond amor ieder wetten noden 
65	0,01962	zek ren sijn lijk len waer duren noden gelijck dies ten lof strekken veer sich zijne wijd volk zieden tijd 
66	0,00238	t'uwaarts t'uwaart uwaarts uwaart kwaal ieseken zalige herteken band welgesteld ruw musyk kont priesters volheids melibeus pottenbakker thisbe snuyfje verbeelding 
67	0,04439	god christus gods toch horen laet wilt godt och vrienden liefde mens wart moeten dit mede toe hart nieuw goed 
68	0,02343	iesu iesus wilt ziel hert naem zijd zondaar laet maeckt zonde bloed beminnen toch eens komt vol liefde jesu genezen 
69	0,01142	hun godt naar hen zyn zich zal opdat heil zoo woord myn volk worden vijands zede heeren nooit hart zeer 
70	0,00543	wreed tsa tha alzo snood wolf leeuw vier doden tyran fel beest sulck meester laurens dier swijn spaer verzaad vroom 
71	0,00374	haer maeghden hof koningh maeght coninginne velt schat sou princen weet koninghs croon cecilia waardig geluid clara toerloerette throon fluyt 
72	0,10996	volk god hoog heeren naâm hand heere macht land grond geslacht huis ten zijne heil gods kind gans geven waard 
