topic	weight	words
0	0,01314	iesu nog hert iesus hemel leggen ziel hemels ten maackt alleen zieden zich oog heyl staat heylig eeuwig sijn lust 
1	0,00232	vous kwee mon les qui boire poeder plus been pour bon suizen coeur vos belle que touwen dans pas sans 
2	0,27513	god kwaad mens recht zelf goed waar waard maken eigen werk alleen wet licht ander geven weet houden toe woord 
3	0,00625	tsa baard tha besje hond droefheid brant couragie poot vlieger waeltje hondt been tan zwak zwijk welcke beer velsen oud 
4	0,02054	hun godt naar myn volk nooit hen godts geven woord heil zyn elk staat gunst steeds goed licht hart ziel 
5	0,03852	hemels god godes haer sint deugd maeght moeder lof soon maria aen goods waer bidden ziel wezen woord hof hoog 
6	0,01406	zoo kerk deur goods waard zeer christus nieuw heyligt wezen godes eerst dit toe iae geloof vlees toch welk waar 
7	0,07977	god lof volk hoog naâm heeren macht grond sijn zingen hand heere maken heeft hemel boven zijne zek huis prijs 
8	0,06554	bloed doden dood zonde kruis lijden vader wonden jesu sijn liefde sterven schuld lam siet kruys jesus mens christus cruys 
9	0,0625	godt gheen godts gods hert liefde heeren geloof ding godes liefd sijn christi mensch lieven kracht noden ghelijck waard vreugde 
10	0,01748	n't zek ramp wiens bloed worden waar vaak hart dies deur mits borst hard wijl celestyn gemoed zulk zieden leiden 
11	0,02949	dijn godt end hun heere dijnen fijn dies enten recht helpen alleluia noot siel eewicheyt gheen christ syn worden woort 
12	0,00335	datsen zein daerje alleluja don qui kik ian nobis gieren meriton cum iesv nauw wangt mei jemie proper foey mit 
13	0,00418	ich das mein vnnd mir ein mich nitt dir zei sein dich hertz und lieb schoen jch mitt hab dein 
14	0,03287	godt spreken volk israel man coninck ginck heere gods david abraham heeft heeren zondaar doe laten brengen waren haer sijn 
15	0,14398	zieden eens vrij neen sou waar weet lang tijd siet wees weer toe laet ander ben heen mede wilt maken 
16	0,21139	ben heb och hert ziel troost lang zwaar pijn lijden dood eens hart wilt smart mijnen verdriet druk mijne zucht 
17	0,07096	spreken vader lief heb man moeder adieu waar ben dochter jong kind laten alzo twee goed dag nemen willen huis 
18	0,11989	min ach hert liefde hart lief smart ziel minnen trouw zin waard pijn droef wreed brand heb lieven beminnen eens 
19	0,067	nog min dog myn lief eens liefde zeer ach zoo ben zoete heb hert trouw magge weg vol beminnen vreugde 
20	0,0247	zee schip varen mede wind baren weer ree voort vis schipper water winden zeil reis storm menig brengen haven land 
21	0,03188	jij heb kom eens mede meysje nauw man weer ben mooi nog loop meid jan meisje toe eerst nou schier 
22	0,10208	licht son zieden dag nacht weer vrucht zon onder tijd lucht aard vruchten boven vol hoog water groen veld ogen 
23	0,06635	zoo zeer zich nooit zonder zal naar waar staat zult zien wezen zelfs elk worden eens oog weder ziet zelf 
24	0,03884	spreken christus jesus iesus geloof petrus twee waren zegge godt vragen vinden geven mede ander doden wees vader soon weer 
25	0,15294	god vijand boos hand kwaad hulp tegen volk kracht macht ziel slaan handen zek schande vol vrees geweld straf tong 
26	0,01184	hij ghij wij ende dij sij maria dijn zijd minnen iesus god alzo toch ben maghet hoog wee maagd moeder 
27	0,07192	lief liefde hart vreugde enten hert reen deur klaar gheen haer minnen troost wees int zondaar zwaar pijn princesse venus 
28	0,01065	god elk lieven enten zeer ghoed gheen waard kwaad lust dees deugd goods iaar int vals nieuw zonder elck begeren 
29	0,10344	vreugde lust hoog rust ziel vol hert goed deugd schat gemoed wereld hemels rijk waard pracht zek waar wens steeds 
30	0,04109	kind godt moeder mens maria nieuw geboren stal klein iaer kinnetje soon gheboren kindt maghet bethlehem brengen vinden licht lof 
31	0,02671	prins land stad strijd geweld hun macht weer held vijand veld kloek vorst bloed lang strijden brengen viva landt soldaten 
32	0,06607	god christus gods wart heere ende enten wilt wereld dood mens godt spreken gheen zonde sijn toch liefde zondaar christum 
33	0,09337	godt wereld tijd mens eeuwig kwaad sterven doden vreugde zonde wilt dood deugd goed godts haast vergaan god pijn altijd 
34	0,00141	uwz fen god gunnen toe mei him naad sil uwt dear ijn hert ney oer for wol goads trog ynn 
35	0,0132	waren moeten deur enten waard mof binnen stad paus brengen twee menig zaak graef dood lang prins kleur houje papen 
36	0,02988	wijn vrolijk drinken glas laet vreugde lustig eens bacchus zingen wyn bier nat vol maken brengen vat edel lier goed 
37	0,01904	end godt dijn hen god myn zien maken n't wees weeg vrij deur spreken vol dies volk gans boos waard 
38	0,05118	mond venus haer kusje wit schoonheid roos min kussen ziel glans twee lipje kus rood lippen stralen net ogen scholen 
39	0,04096	groen herder vee harder coridon onder schaepjes herders herderin vreugde lust veld ach min gras lief weide wout waer cloris 
40	0,14216	god gods enten gheen heeren zondaar wees heere ghelijck blijven godt moeten elk ten christus zieden fijn klaar worden tijd 
41	0,06106	godt hert liefde ziel vreugde godts vinden gheen eens n't heel hun alleen blij licht naer boven wees rust vol 
42	0,01386	godt hert ten zek godts woord waer lijk ren ziel diep heen noden deuchdt oog heil kracht mens dies laet 
43	0,13396	zien roepen denken weer voort heel laten nemen spreken scheen worden waar heen haast sijn lach waren haer neer krijgen 
44	0,05805	vreugde vrede trouw bruydegom man liefde twee vrouw wens bruydt deugd bruyt echt paar lieven trouwen mede god geluk band 
45	0,03991	maken geld goed boer gelt hun man zondaar heel huis krijgen gelijk sou boeren meest fraai kost eens vrouw drinken 
46	0,03842	zingen vreugde mey groen zang lof blij comt deugd tijd spelen vvant spel vol lustig bloeien elk laet aensiet wilt 
47	0,06982	ziel god gods hert eeuwig goed liefde worden kracht waar hart zoo nog heil alles magge ten kom boven zich 
48	0,1571	godt wilt heere vader lof hart ziel bidden god laet genade prijs altijd loven boven zonde godts maken heilig geven 
49	0,03711	spijs brood eten drank wijn drinken armen voeden honger vlees tafel rijk arm eed broden dorst lichaam dis geven spijzen 
