47;0,05;iesus amor brant over los hosanna heyligheyt halleluja verlaat est hoo wens verdriet groeyt vinter iesu vlucht hallelujah genoegh dier 
48;0,05;hemel laat vrolijck nog dien ligt hemels sig siel oog lust heyl eeuwig sonder maackt can gaan waar comt geest 
49;0,05;hen doer nae wesen gantsch dies in't uwen sullen dien kracht allen sijt uwe haest goet klaer maeckt ouer alleyn 
50;0,05;uit godts jezus bloet ziel geest ramp nooit zelf wort dees zoon kruis zie hant alleen doot hoog ogen hart 
51;0,05;volck sullen hebben hulp vyanden handen onder haren teghen vromen vergaen landt eenen over menschen macht fel boosen boose haest 
52;0,05;maria schoon moeder godts hemels maghet schoone soon reyn hemel boven maeght uwen weest wesen sonder soet lof suyver naer 
53;0,05;god goed waar word gemoed schoon nog gods aard staat deugd zig elk alleen tijd woord noit vreugd mensch gelijk 
54;0,05;hart min toen uit oogen zag zon brand wijl smart gezicht riep waar mond oog twee hemel evoe lippen langs 
55;0,05;hij mij sij ghij wij gij dij bij heere sall toch uijt zij sijt loff zyt all zeer tyt altyt 
56;0,05;hun uwen nae fijn dies duert synen glijck heere hebben schoon goetheyt handt godts recht eewicheyt daerom inder mijnen eenen 
57;0,05;god sich nae hand gelijck volck werd hoogh gaet sijne macht in’t uwe land naem dagh vyand staen uwen lof 
58;0,05;heere sonden uwen helpt troost noot mijnen mach och lijden swaer siel maeckt siele verhoort bid uwe staet verlost quaet 
59;0,05;liefde liefd liefden vrede wet reyn ist lief rechte lust dees vast soet godts bemint beminnen blijft hart lieft twist 
60;0,05;lief schoon mach liefde troost int soet reyn herte liefste minnen pijn princesse mocht sonder venus wesen can liefden druck 
61;0,05;nieuwe kindt stal kindeken iaer mensch geboren kint bethlehem gheboren desen jaer moeder soete soet soon beesten dese herders maria 
62;0,05;nog god ziel jesus geest uwe kom liefde alles dog mag naar all uwen herte niets bloed regt laat geef 
63;0,05;ziel geest gods boven zonden eeuwig geeft ziet zeer hemels laat uit zonder zegen zoon wezen geven ach gunst hemel 
64;0,05;gods sonder int nae goet vry wesen elck heere soet heeren gheen naer desen christus oft ghelijck gheest werdt woort 
65;0,05;adieu lief och over isser alsoo ruyter schoon twee liefste fijn huys staen onder man stout lieve rijden groene slapen 
66;0,05;werelt goet mensch werelts haest sterven vergaet staet rijckdom ydel lust lusten schoon quaet wereldt schijn schat ydelheyt rijck leeft 
67;0,05;dijn syn all nae dijnen dijne woort godes christ recht eewich heere dijns noot int goet allen dies synen doot 
68;0,05;int ghoed dees lust elck god wert mensch liefd quaad maackt goods iaar gheen vant waan magh recht dueghd dood 
69;0,05;straf hooft boos had wreede hel list over dees handen spijt snoode spot leeuw valsche vlam fenijn val gaf fel 
70;0,05;soe syn schoen gij sin syt int nae doer toch uit voer weesen tyt mach lief goedt liefde tis groet 
71;0,05;zich uit laat word ziet waar nooit weêr zelf naar gaat schoon hun dien goed steeds zou staat hen wanneer 
72;0,05;vry miin dorst borst doe wee kom kon vast yver lust hoop dobbe verwijt dob siin dom minder oude oor 
73;0,05;soete kusjes lipjes soet lieve kus lusjes kussen deur kom lust kust kleur gaat ach zieltje lippen weer mont houje 
74;0,05;god syn volck heere int synen dies syne macht hant godes vast mont heeren gods hare recht inden tijt eeuwicheyt 
75;0,05;uwe ziel mijne wet uwen nacht mijnen geest licht lust recht weet sie mijns ziele wanneer rust oogen troost alleen 
76;0,05;wesen sonder geven hebben sult gelijck desen komen sullen dagen oogen tegen heere laten naer dragen sou menschen boven gedaen 
77;0,05;sprack waren hebben quam ginck int eenen hadde sach dese quamen hadden nae soude dede comen heere sonder liet heeren 
78;0,05;christus sprack petrus jesus dees geloof twee waren hoort drie quam paulus heeren geest hebben leer naem christi eerst kerck 
79;0,05;wijn drincken drinckt bier wyn bacchus vrolijck nat glas vat dranck volle lustigh dorst vrienden bachus dees beter elck eeren 
80;0,05;sullen sult stadt bruydegom heeren bruyt syon ierusalem schoon wesen moeten och staen knechten babel blincken hooren comen bereyt wacht 
81;0,05;gaet mee weet weer man toe staet sou vry mach goet staen ander dese nae maeckt voort wesen beter sonder 
82;0,05;boven godts naer all liefde comt licht goedt deught altijdt vier vreught eeuwich allen uwen ziel heel deughden sien zielen 
