id	top1	top2	top3
21402	topic 9	topic 15	topic 29
112080	topic 28	topic 48	topic 49
27073	topic 32	topic 19	topic 3
115937	topic 16	topic 10	topic 12
162567	topic 16	topic 36	topic 28
147917	topic 24	topic 27	topic 29
176512	topic 10	topic 7	topic 32
25664	topic 0	topic 19	topic 48
184784	topic 4	topic 39	topic 46
1849	topic 14	topic 10	topic 3
117846	topic 12	topic 29	topic 28
35311	topic 39	topic 30	topic 2
6840	topic 1	topic 40	topic 10
166067	topic 21	topic 37	topic 46
23573	topic 0	topic 6	topic 36
12976	topic 29	topic 34	topic 11
176274	topic 14	topic 3	topic 25
188800	topic 28	topic 19	topic 35
38635	topic 3	topic 39	topic 24
162201	topic 18	topic 17	topic 27
191389	topic 36	topic 0	topic 7
115089	topic 19	topic 16	topic 14
29738	topic 6	topic 0	topic 37
36618	topic 4	topic 29	topic 48
21364	topic 31	topic 9	topic 13
35339	topic 37	topic 3	topic 2
33990	topic 40	topic 0	topic 46
12786	topic 18	topic 36	topic 19
6868	topic 0	topic 1	topic 18
118585	topic 27	topic 19	topic 10
8845	topic 0	topic 6	topic 46
130209	topic 38	topic 37	topic 30
34027	topic 7	topic 40	topic 1
20052	topic 41	topic 34	topic 10
29710	topic 21	topic 2	topic 10
26423	topic 9	topic 31	topic 13
36630	topic 4	topic 31	topic 3
186805	topic 36	topic 35	topic 23
36156	topic 4	topic 18	topic 39
165220	topic 37	topic 27	topic 18
22123	topic 6	topic 9	topic 19
1861	topic 14	topic 27	topic 19
14485	topic 40	topic 3	topic 25
25658	topic 0	topic 19	topic 13
1875	topic 39	topic 14	topic 10
22137	topic 6	topic 7	topic 9
163645	topic 28	topic 17	topic 38
20720	topic 44	topic 19	topic 42
20046	topic 29	topic 24	topic 19
30255	topic 32	topic 21	topic 9
173330	topic 38	topic 46	topic 37
175999	topic 36	topic 10	topic 7
21358	topic 31	topic 9	topic 19
186811	topic 35	topic 49	topic 12
36624	topic 4	topic 42	topic 2
8689	topic 20	topic 39	topic 3
178265	topic 1	topic 10	topic 18
33984	topic 40	topic 36	topic 19
12792	topic 18	topic 36	topic 19
8851	topic 6	topic 36	topic 27
118591	topic 37	topic 10	topic 19
183969	topic 10	topic 24	topic 18
34033	topic 40	topic 36	topic 12
176248	topic 39	topic 10	topic 19
192657	topic 16	topic 18	topic 24
183982	topic 25	topic 3	topic 49
117649	topic 12	topic 7	topic 24
15016	topic 7	topic 49	topic 18
117891	topic 48	topic 19	topic 38
6897	topic 1	topic 44	topic 46
12779	topic 39	topic 18	topic 22
3737	topic 8	topic 18	topic 37
40759	topic 45	topic 0	topic 13
114340	topic 4	topic 19	topic 46
191438	topic 49	topic 36	topic 42
112057	topic 28	topic 36	topic 19
115738	topic 3	topic 25	topic 34
11516	topic 39	topic 14	topic 13
20913	topic 44	topic 19	topic 10
116231	topic 29	topic 35	topic 12
8104	topic 18	topic 13	topic 21
156615	topic 39	topic 38	topic 23
159526	topic 25	topic 18	topic 31
13301	topic 42	topic 36	topic 48
119116	topic 28	topic 48	topic 4
8110	topic 0	topic 10	topic 19
7223	topic 21	topic 14	topic 12
159532	topic 30	topic 3	topic 24
118208	topic 36	topic 19	topic 24
13315	topic 42	topic 48	topic 7
163862	topic 18	topic 17	topic 44
155308	topic 19	topic 12	topic 18
11502	topic 39	topic 3	topic 47
187528	topic 31	topic 40	topic 7
175966	topic 36	topic 10	topic 49
3723	topic 8	topic 7	topic 19
180247	topic 23	topic 30	topic 3
183996	topic 24	topic 18	topic 46
192643	topic 22	topic 44	topic 18
9568	topic 48	topic 27	topic 49
52349	topic 32	topic 28	topic 3
15002	topic 7	topic 10	topic 27
117885	topic 48	topic 28	topic 17
6883	topic 22	topic 24	topic 42
38806	topic 5	topic 21	topic 31
40765	topic 45	topic 36	topic 30
19610	topic 38	topic 23	topic 49
20091	topic 34	topic 29	topic 24
191362	topic 36	topic 7	topic 18
117675	topic 38	topic 39	topic 10
185317	topic 42	topic 0	topic 48
8886	topic 6	topic 15	topic 3
118546	topic 19	topic 36	topic 24
9540	topic 36	topic 25	topic 24
158162	topic 48	topic 10	topic 0
33953	topic 40	topic 24	topic 0
12745	topic 24	topic 27	topic 3
32495	topic 14	topic 19	topic 3
193575	topic 35	topic 3	topic 10
12023	topic 1	topic 9	topic 27
148417	topic 16	topic 0	topic 19
193213	topic 0	topic 31	topic 46
8138	topic 31	topic 0	topic 19
6115	topic 2	topic 1	topic 48
156629	topic 38	topic 36	topic 39
117113	topic 36	topic 37	topic 28
118220	topic 0	topic 36	topic 27
191404	topic 36	topic 7	topic 42
2373	topic 0	topic 48	topic 9
27098	topic 9	topic 32	topic 19
10634	topic 21	topic 48	topic 2
36195	topic 4	topic 21	topic 18
4702	topic 22	topic 7	topic 11
19176	topic 12	topic 21	topic 1
187266	topic 36	topic 6	topic 0
2367	topic 48	topic 2	topic 1
191410	topic 49	topic 33	topic 7
10620	topic 21	topic 46	topic 2
4716	topic 22	topic 16	topic 3
36181	topic 37	topic 4	topic 10
115710	topic 25	topic 18	topic 19
12037	topic 45	topic 3	topic 36
158610	topic 24	topic 37	topic 14
6101	topic 42	topic 1	topic 18
185303	topic 13	topic 19	topic 16
8892	topic 6	topic 19	topic 9
12989	topic 11	topic 3	topic 37
9554	topic 10	topic 36	topic 7
157245	topic 18	topic 31	topic 21
183772	topic 18	topic 42	topic 7
33947	topic 45	topic 40	topic 19
12751	topic 18	topic 31	topic 36
32481	topic 19	topic 12	topic 24
40771	topic 45	topic 49	topic 19
20085	topic 11	topic 34	topic 3
191376	topic 36	topic 7	topic 49
174113	topic 16	topic 27	topic 21
178729	topic 35	topic 8	topic 36
113	topic 2	topic 9	topic 31
130751	topic 29	topic 34	topic 30
176704	topic 0	topic 31	topic 19
34219	topic 37	topic 2	topic 3
117488	topic 30	topic 25	topic 39
116796	topic 11	topic 29	topic 10
129566	topic 30	topic 34	topic 39
7790	topic 18	topic 32	topic 49
2830	topic 21	topic 45	topic 46
180092	topic 42	topic 35	topic 13
21172	topic 38	topic 30	topic 23
4299	topic 2	topic 12	topic 21
21166	topic 46	topic 27	topic 18
2824	topic 21	topic 5	topic 45
155877	topic 15	topic 3	topic 18
26609	topic 32	topic 3	topic 4
28624	topic 32	topic 15	topic 19
20278	topic 39	topic 21	topic 10
162003	topic 25	topic 14	topic 3
159095	topic 1	topic 37	topic 42
176076	topic 49	topic 8	topic 7
9971	topic 11	topic 32	topic 27
7784	topic 42	topic 18	topic 0
129572	topic 30	topic 39	topic 3
35675	topic 44	topic 7	topic 32
185698	topic 31	topic 15	topic 40
1493	topic 2	topic 39	topic 0
157906	topic 30	topic 3	topic 38
111953	topic 23	topic 39	topic 0
176710	topic 31	topic 0	topic 18
130745	topic 38	topic 14	topic 28
112282	topic 38	topic 14	topic 17
21600	topic 9	topic 13	topic 31
185868	topic 14	topic 30	topic 39
159903	topic 19	topic 31	topic 0
35885	topic 48	topic 2	topic 4
34543	topic 46	topic 26	topic 13
11933	topic 18	topic 27	topic 16
20536	topic 7	topic 18	topic 3
163335	topic 12	topic 24	topic 2
10393	topic 14	topic 19	topic 23
30043	topic 6	topic 36	topic 49
20250	topic 21	topic 39	topic 48
9781	topic 13	topic 19	topic 0
34225	topic 3	topic 14	topic 21
116972	topic 29	topic 3	topic 15
118787	topic 11	topic 39	topic 19
119499	topic 38	topic 18	topic 42
9959	topic 19	topic 13	topic 6
12584	topic 7	topic 46	topic 15
22447	topic 9	topic 36	topic 0
13842	topic 24	topic 34	topic 29
116966	topic 36	topic 38	topic 10
34231	topic 2	topic 37	topic 3
12590	topic 18	topic 49	topic 6
22453	topic 9	topic 18	topic 0
13856	topic 24	topic 34	topic 19
163321	topic 19	topic 12	topic 39
2818	topic 21	topic 45	topic 2
26635	topic 13	topic 16	topic 9
11099	topic 2	topic 13	topic 19
165750	topic 11	topic 7	topic 26
30057	topic 49	topic 6	topic 29
155693	topic 19	topic 27	topic 10
20244	topic 21	topic 14	topic 2
11927	topic 18	topic 27	topic 49
20522	topic 18	topic 24	topic 15
165036	topic 39	topic 10	topic 14
164328	topic 38	topic 27	topic 19
114817	topic 18	topic 16	topic 28
178701	topic 35	topic 49	topic 7
35891	topic 18	topic 10	topic 48
14687	topic 42	topic 10	topic 1
34557	topic 16	topic 39	topic 26
130779	topic 12	topic 28	topic 24
13103	topic 1	topic 19	topic 22
1444	topic 2	topic 21	topic 1
9018	topic 0	topic 49	topic 6
3253	topic 24	topic 28	topic 46
180737	topic 13	topic 31	topic 21
19348	topic 9	topic 42	topic 49
186346	topic 34	topic 11	topic 19
186420	topic 30	topic 14	topic 19
26806	topic 13	topic 31	topic 9
3535	topic 2	topic 10	topic 39
32873	topic 15	topic 40	topic 31
100137	topic 38	topic 19	topic 37
116999	topic 18	topic 28	topic 19
32867	topic 1	topic 31	topic 19
100123	topic 38	topic 10	topic 30
114156	topic 23	topic 14	topic 25
10378	topic 29	topic 6	topic 23
3521	topic 21	topic 2	topic 39
11066	topic 21	topic 18	topic 16
115248	topic 36	topic 49	topic 7
3247	topic 17	topic 28	topic 27
180723	topic 40	topic 13	topic 18
4528	topic 23	topic 39	topic 38
2159	topic 38	topic 10	topic 24
186352	topic 3	topic 38	topic 10
13117	topic 5	topic 11	topic 31
1450	topic 18	topic 31	topic 32
156403	topic 14	topic 9	topic 21
14678	topic 1	topic 40	topic 18
4500	topic 49	topic 15	topic 9
19374	topic 9	topic 5	topic 42
112269	topic 23	topic 30	topic 10
114618	topic 4	topic 0	topic 22
2171	topic 38	topic 39	topic 36
21833	topic 6	topic 9	topic 18
191606	topic 38	topic 19	topic 36
118022	topic 28	topic 25	topic 16
1478	topic 2	topic 37	topic 21
35846	topic 46	topic 44	topic 27
117311	topic 5	topic 17	topic 7
161287	topic 18	topic 16	topic 19
14650	topic 19	topic 5	topic 1
9024	topic 6	topic 42	topic 0
34580	topic 16	topic 26	topic 7
158406	topic 27	topic 47	topic 12
14888	topic 47	topic 39	topic 3
23942	topic 46	topic 19	topic 31
32697	topic 5	topic 18	topic 1
12547	topic 18	topic 49	topic 7
129599	topic 34	topic 24	topic 26
13881	topic 3	topic 14	topic 29
14136	topic 13	topic 31	topic 42
12	topic 23	topic 30	topic 12
118744	topic 48	topic 39	topic 36
185115	topic 42	topic 48	topic 28
10350	topic 47	topic 27	topic 37
2617	topic 16	topic 49	topic 36
30080	topic 6	topic 36	topic 25
20293	topic 41	topic 2	topic 14
4266	topic 2	topic 13	topic 1
19412	topic 7	topic 10	topic 16
3509	topic 21	topic 39	topic 2
10344	topic 23	topic 28	topic 12
2603	topic 18	topic 46	topic 21
113605	topic 21	topic 2	topic 14
155650	topic 17	topic 35	topic 27
20287	topic 0	topic 12	topic 19
19406	topic 7	topic 18	topic 24
4272	topic 2	topic 10	topic 16
21199	topic 34	topic 24	topic 10
32683	topic 20	topic 26	topic 16
12553	topic 7	topic 18	topic 0
118988	topic 43	topic 38	topic 39
13895	topic 34	topic 24	topic 3
156359	topic 30	topic 32	topic 28
14122	topic 21	topic 31	topic 14
176089	topic 36	topic 19	topic 16
118750	topic 48	topic 18	topic 36
118036	topic 46	topic 16	topic 28
151350	topic 15	topic 21	topic 31
35852	topic 37	topic 4	topic 48
34594	topic 29	topic 19	topic 4
106208	topic 19	topic 21	topic 2
115512	topic 47	topic 39	topic 46
153547	topic 27	topic 14	topic 36
162942	topic 19	topic 48	topic 12
152881	topic 36	topic 18	topic 42
19360	topic 0	topic 9	topic 6
21827	topic 6	topic 49	topic 24
2165	topic 38	topic 14	topic 3
21760	topic 6	topic 36	topic 4
164274	topic 49	topic 7	topic 36
114793	topic 16	topic 28	topic 27
176670	topic 18	topic 31	topic 13
192284	topic 11	topic 3	topic 32
116184	topic 28	topic 10	topic 19
25506	topic 20	topic 15	topic 9
14903	topic 39	topic 24	topic 16
35715	topic 40	topic 44	topic 42
7182	topic 0	topic 19	topic 9
22269	topic 9	topic 19	topic 6
35073	topic 26	topic 16	topic 27
184380	topic 28	topic 19	topic 48
166305	topic 27	topic 47	topic 17
100080	topic 39	topic 38	topic 47
176116	topic 49	topic 36	topic 7
155917	topic 46	topic 5	topic 19
3482	topic 18	topic 36	topic 49
21006	topic 12	topic 16	topic 7
2944	topic 49	topic 33	topic 7
2788	topic 2	topic 45	topic 21
155903	topic 7	topic 38	topic 3
2950	topic 18	topic 27	topic 19
21012	topic 7	topic 13	topic 39
118803	topic 28	topic 27	topic 18
184394	topic 28	topic 36	topic 42
32708	topic 48	topic 5	topic 19
9805	topic 13	topic 10	topic 32
100094	topic 23	topic 21	topic 7
34379	topic 39	topic 4	topic 48
176102	topic 49	topic 37	topic 19
6288	topic 27	topic 39	topic 38
176664	topic 31	topic 0	topic 36
159687	topic 38	topic 27	topic 47
116190	topic 28	topic 10	topic 7
14917	topic 39	topic 21	topic 47
7196	topic 9	topic 19	topic 0
185934	topic 38	topic 27	topic 16
35701	topic 44	topic 16	topic 31
180694	topic 13	topic 19	topic 31
36208	topic 4	topic 24	topic 49
134457	topic 14	topic 47	topic 27
191799	topic 0	topic 31	topic 18
114787	topic 16	topic 28	topic 3
9193	topic 20	topic 24	topic 39
34437	topic 4	topic 10	topic 46
13088	topic 22	topic 44	topic 0
22255	topic 6	topic 49	topic 19
178661	topic 35	topic 36	topic 7
35729	topic 44	topic 19	topic 0
36220	topic 37	topic 4	topic 21
191969	topic 38	topic 28	topic 18
11847	topic 27	topic 16	topic 48
20442	topic 18	topic 7	topic 36
189698	topic 28	topic 35	topic 27
36546	topic 5	topic 18	topic 13
163241	topic 38	topic 39	topic 10
2978	topic 18	topic 33	topic 27
13936	topic 31	topic 40	topic 15
32720	topic 5	topic 24	topic 46
7800	topic 40	topic 0	topic 3
9839	topic 13	topic 31	topic 46
25248	topic 21	topic 0	topic 5
160984	topic 30	topic 3	topic 19
7814	topic 18	topic 7	topic 48
34345	topic 39	topic 4	topic 24
116812	topic 11	topic 44	topic 10
187879	topic 17	topic 18	topic 0
26741	topic 6	topic 8	topic 9
153396	topic 10	topic 12	topic 16
36552	topic 19	topic 46	topic 13
26027	topic 0	topic 18	topic 36
10595	topic 24	topic 2	topic 9
11853	topic 16	topic 18	topic 7
20456	topic 0	topic 10	topic 42
9187	topic 34	topic 3	topic 11
34423	topic 1	topic 10	topic 4
118181	topic 12	topic 0	topic 36
24630	topic 9	topic 13	topic 18
178675	topic 35	topic 36	topic 49
22241	topic 6	topic 36	topic 19
184425	topic 28	topic 18	topic 27
119274	topic 28	topic 36	topic 10
7141	topic 2	topic 9	topic 42
156563	topic 27	topic 3	topic 36
13077	topic 18	topic 40	topic 24
2039	topic 12	topic 38	topic 39
114750	topic 16	topic 28	topic 7
173913	topic 18	topic 16	topic 27
180643	topic 28	topic 27	topic 36
4448	topic 9	topic 19	topic 21
3327	topic 21	topic 19	topic 18
3441	topic 16	topic 8	topic 24
2987	topic 2	topic 19	topic 3
113759	topic 4	topic 42	topic 10
26972	topic 41	topic 19	topic 18
5030	topic 3	topic 18	topic 48
187892	topic 28	topic 18	topic 17
114036	topic 47	topic 3	topic 23
10218	topic 10	topic 25	topic 14
149325	topic 33	topic 49	topic 7
100043	topic 3	topic 23	topic 7
119512	topic 38	topic 23	topic 30
185049	topic 26	topic 11	topic 30
149331	topic 33	topic 36	topic 7
118618	topic 28	topic 35	topic 39
192535	topic 11	topic 3	topic 19
100057	topic 23	topic 34	topic 27
159122	topic 12	topic 31	topic 8
156211	topic 18	topic 17	topic 19
116635	topic 30	topic 26	topic 29
150660	topic 33	topic 36	topic 46
113995	topic 19	topic 5	topic 42
180131	topic 35	topic 18	topic 42
2993	topic 2	topic 14	topic 4
155718	topic 30	topic 11	topic 46
187886	topic 18	topic 36	topic 49
26966	topic 41	topic 34	topic 19
114744	topic 16	topic 18	topic 3
180657	topic 13	topic 18	topic 8
19228	topic 9	topic 42	topic 21
3333	topic 21	topic 37	topic 19
184431	topic 28	topic 1	topic 0
119260	topic 46	topic 28	topic 19
7155	topic 2	topic 9	topic 37
9178	topic 39	topic 14	topic 24
13063	topic 25	topic 40	topic 36
1524	topic 2	topic 19	topic 21
191772	topic 8	topic 0	topic 36
11884	topic 0	topic 27	topic 49
20481	topic 18	topic 27	topic 49
19200	topic 9	topic 31	topic 19
4474	topic 9	topic 27	topic 37
115472	topic 5	topic 7	topic 18
119248	topic 36	topic 28	topic 35
147452	topic 0	topic 31	topic 21
184419	topic 28	topic 35	topic 48
111614	topic 38	topic 14	topic 10
9150	topic 38	topic 42	topic 7
6263	topic 39	topic 46	topic 38
117265	topic 11	topic 34	topic 23
35932	topic 46	topic 19	topic 2
185707	topic 40	topic 13	topic 42
160953	topic 39	topic 27	topic 18
118630	topic 38	topic 30	topic 36
117503	topic 28	topic 16	topic 24
149319	topic 33	topic 16	topic 36
9636	topic 13	topic 31	topic 15
34392	topic 29	topic 4	topic 21
158214	topic 29	topic 37	topic 11
193603	topic 0	topic 28	topic 49
150648	topic 49	topic 33	topic 27
115314	topic 8	topic 0	topic 18
19566	topic 38	topic 10	topic 36
4312	topic 2	topic 16	topic 13
180119	topic 35	topic 7	topic 28
10224	topic 48	topic 12	topic 24
2763	topic 3	topic 7	topic 42
26782	topic 6	topic 0	topic 9
3469	topic 16	topic 18	topic 46
36591	topic 4	topic 42	topic 10
4306	topic 2	topic 13	topic 0
19572	topic 39	topic 19	topic 38
163296	topic 14	topic 10	topic 39
5018	topic 12	topic 48	topic 13
10230	topic 23	topic 12	topic 27
2777	topic 2	topic 45	topic 24
118624	topic 28	topic 36	topic 29
13739	topic 19	topic 23	topic 47
14056	topic 14	topic 23	topic 38
161481	topic 31	topic 21	topic 1
9622	topic 13	topic 46	topic 19
34386	topic 29	topic 11	topic 19
116609	topic 27	topic 28	topic 48
176843	topic 0	topic 18	topic 31
22282	topic 6	topic 7	topic 9
111600	topic 10	topic 38	topic 25
7169	topic 9	topic 15	topic 1
9144	topic 17	topic 27	topic 29
6277	topic 14	topic 27	topic 19
118142	topic 28	topic 46	topic 27
1518	topic 29	topic 19	topic 24
35926	topic 27	topic 37	topic 47
114778	topic 16	topic 18	topic 28
191766	topic 8	topic 0	topic 49
11890	topic 18	topic 17	topic 36
20495	topic 18	topic 19	topic 27
19214	topic 9	topic 19	topic 24
115466	topic 46	topic 27	topic 19
21204	topic 24	topic 14	topic 7
164710	topic 26	topic 34	topic 21
3680	topic 8	topic 36	topic 49
19943	topic 7	topic 27	topic 49
186795	topic 35	topic 7	topic 36
113598	topic 2	topic 14	topic 21
12816	topic 15	topic 7	topic 3
183835	topic 40	topic 18	topic 36
6920	topic 3	topic 47	topic 39
192938	topic 30	topic 26	topic 3
117926	topic 16	topic 19	topic 28
35517	topic 48	topic 19	topic 46
25704	topic 31	topic 0	topic 18
116386	topic 28	topic 16	topic 18
34609	topic 4	topic 39	topic 10
115857	topic 29	topic 10	topic 27
27113	topic 32	topic 19	topic 9
4689	topic 22	topic 12	topic 0
10967	topic 21	topic 16	topic 12
21562	topic 31	topic 9	topic 13
180482	topic 7	topic 44	topic 0
115843	topic 48	topic 36	topic 18
20668	topic 44	topic 12	topic 36
27107	topic 32	topic 9	topic 15
31765	topic 1	topic 6	topic 40
10973	topic 21	topic 19	topic 39
21576	topic 9	topic 31	topic 19
35503	topic 37	topic 47	topic 26
116392	topic 28	topic 37	topic 17
25710	topic 0	topic 19	topic 13
12802	topic 18	topic 19	topic 33
183821	topic 40	topic 10	topic 3
8919	topic 49	topic 0	topic 6
185288	topic 40	topic 18	topic 10
166113	topic 21	topic 31	topic 5
6934	topic 47	topic 24	topic 21
22719	topic 10	topic 41	topic 5
160562	topic 0	topic 7	topic 12
117932	topic 16	topic 28	topic 21
186959	topic 27	topic 30	topic 19
21210	topic 27	topic 16	topic 19
3694	topic 8	topic 19	topic 7
186781	topic 35	topic 3	topic 49
19957	topic 27	topic 14	topic 17
188974	topic 13	topic 0	topic 9
34153	topic 29	topic 4	topic 7
176328	topic 10	topic 32	topic 44
24340	topic 31	topic 9	topic 46
8931	topic 6	topic 0	topic 49
183809	topic 1	topic 40	topic 19
32522	topic 39	topic 47	topic 19
21238	topic 38	topic 16	topic 39
186971	topic 28	topic 18	topic 38
38769	topic 0	topic 21	topic 1
20126	topic 38	topic 39	topic 7
155297	topic 23	topic 14	topic 7
175147	topic 21	topic 31	topic 0
10783	topic 1	topic 19	topic 31
20898	topic 44	topic 0	topic 12
36022	topic 5	topic 48	topic 19
1915	topic 48	topic 39	topic 21
157480	topic 30	topic 24	topic 34
25738	topic 5	topic 2	topic 15
147693	topic 28	topic 30	topic 38
34635	topic 24	topic 37	topic 4
157494	topic 34	topic 30	topic 48
1901	topic 47	topic 21	topic 14
34621	topic 39	topic 4	topic 7
184814	topic 19	topic 48	topic 10
11489	topic 47	topic 4	topic 24
36036	topic 48	topic 46	topic 36
186965	topic 38	topic 17	topic 7
36988	topic 48	topic 26	topic 4
20132	topic 39	topic 36	topic 46
162349	topic 28	topic 10	topic 7
34147	topic 3	topic 4	topic 39
161640	topic 3	topic 30	topic 2
8925	topic 6	topic 7	topic 19
6908	topic 34	topic 24	topic 39
32536	topic 39	topic 47	topic 24
129638	topic 38	topic 17	topic 24
178311	topic 21	topic 0	topic 1
22725	topic 31	topic 9	topic 19
116423	topic 28	topic 18	topic 27
150476	topic 33	topic 7	topic 49
36963	topic 4	topic 26	topic 27
186756	topic 35	topic 49	topic 3
19980	topic 34	topic 27	topic 15
38796	topic 1	topic 0	topic 48
180327	topic 30	topic 11	topic 19
3643	topic 8	topic 36	topic 18
11462	topic 3	topic 39	topic 24
20867	topic 44	topic 3	topic 31
3125	topic 23	topic 3	topic 47
115894	topic 38	topic 10	topic 27
186030	topic 38	topic 3	topic 23
163902	topic 32	topic 28	topic 12
8070	topic 31	topic 1	topic 3
116345	topic 17	topic 28	topic 22
156775	topic 14	topic 48	topic 3
159446	topic 15	topic 19	topic 0
8064	topic 15	topic 18	topic 3
147678	topic 28	topic 48	topic 7
119062	topic 43	topic 19	topic 18
184633	topic 4	topic 7	topic 48
116351	topic 28	topic 17	topic 27
115658	topic 28	topic 18	topic 7
11476	topic 47	topic 27	topic 39
3131	topic 10	topic 23	topic 24
180455	topic 7	topic 39	topic 36
186024	topic 3	topic 38	topic 11
114546	topic 24	topic 34	topic 10
19994	topic 24	topic 23	topic 12
186742	topic 35	topic 49	topic 36
36977	topic 4	topic 40	topic 12
38782	topic 21	topic 36	topic 16
4138	topic 38	topic 17	topic 36
3657	topic 8	topic 36	topic 31
150462	topic 33	topic 7	topic 36
8702	topic 39	topic 10	topic 24
7431	topic 10	topic 7	topic 19
100255	topic 12	topic 38	topic 3
117729	topic 28	topic 16	topic 19
10026	topic 18	topic 7	topic 15
155532	topic 7	topic 17	topic 5
27852	topic 32	topic 2	topic 19
153143	topic 24	topic 46	topic 40
187474	topic 25	topic 49	topic 19
158016	topic 24	topic 10	topic 19
33827	topic 18	topic 40	topic 28
183612	topic 14	topic 38	topic 7
6707	topic 4	topic 36	topic 13
34190	topic 39	topic 4	topic 47
117701	topic 28	topic 17	topic 18
13249	topic 5	topic 48	topic 31
14526	topic 18	topic 44	topic 49
147888	topic 0	topic 46	topic 39
22094	topic 6	topic 9	topic 19
116379	topic 28	topic 3	topic 7
193367	topic 17	topic 28	topic 49
3119	topic 47	topic 37	topic 14
187312	topic 6	topic 36	topic 49
115670	topic 28	topic 16	topic 18
4676	topic 22	topic 19	topic 7
20683	topic 44	topic 5	topic 39
2207	topic 39	topic 38	topic 16
10740	topic 24	topic 23	topic 39
115664	topic 28	topic 27	topic 19
180469	topic 44	topic 40	topic 4
21589	topic 0	topic 9	topic 6
4662	topic 22	topic 18	topic 28
20697	topic 44	topic 18	topic 19
2213	topic 38	topic 14	topic 39
10754	topic 47	topic 3	topic 14
117073	topic 19	topic 24	topic 11
6075	topic 1	topic 0	topic 19
8058	topic 31	topic 19	topic 15
157457	topic 30	topic 34	topic 24
22080	topic 1	topic 5	topic 9
12143	topic 43	topic 12	topic 19
156991	topic 14	topic 16	topic 32
193373	topic 7	topic 3	topic 15
148211	topic 13	topic 31	topic 48
111364	topic 28	topic 19	topic 36
183606	topic 34	topic 30	topic 23
33833	topic 40	topic 19	topic 0
34184	topic 39	topic 21	topic 14
6713	topic 0	topic 4	topic 18
117715	topic 38	topic 19	topic 17
24397	topic 2	topic 19	topic 7
118426	topic 31	topic 10	topic 13
2575	topic 39	topic 14	topic 24
10032	topic 20	topic 11	topic 3
113573	topic 21	topic 47	topic 14
155526	topic 7	topic 1	topic 19
163094	topic 3	topic 30	topic 24
27846	topic 32	topic 3	topic 25
38966	topic 46	topic 4	topic 10
2205	topic 38	topic 14	topic 39
10742	topic 14	topic 27	topic 24
20681	topic 44	topic 19	topic 1
134864	topic 47	topic 14	topic 27
20859	topic 44	topic 49	topic 5
193365	topic 10	topic 49	topic 28
22096	topic 6	topic 49	topic 9
14524	topic 1	topic 44	topic 18
118356	topic 0	topic 36	topic 19
117703	topic 28	topic 42	topic 35
34192	topic 39	topic 48	topic 47
156039	topic 38	topic 7	topic 3
158014	topic 47	topic 39	topic 23
33825	topic 40	topic 31	topic 0
157327	topic 3	topic 2	topic 34
148207	topic 18	topic 16	topic 28
175838	topic 32	topic 19	topic 3
26596	topic 13	topic 9	topic 7
27850	topic 32	topic 9	topic 10
113565	topic 21	topic 14	topic 9
2563	topic 21	topic 19	topic 39
27688	topic 32	topic 9	topic 15
186768	topic 35	topic 49	topic 42
10024	topic 14	topic 47	topic 37
3669	topic 8	topic 49	topic 0
38964	topic 42	topic 5	topic 46
26582	topic 3	topic 26	topic 21
115100	topic 3	topic 30	topic 23
27844	topic 32	topic 3	topic 15
113571	topic 14	topic 21	topic 37
164921	topic 5	topic 1	topic 17
2577	topic 25	topic 39	topic 19
10030	topic 47	topic 24	topic 18
36949	topic 26	topic 12	topic 4
24395	topic 2	topic 9	topic 19
117717	topic 28	topic 27	topic 29
6711	topic 36	topic 10	topic 19
33831	topic 24	topic 40	topic 18
183604	topic 25	topic 30	topic 19
116409	topic 28	topic 12	topic 18
12141	topic 43	topic 0	topic 19
147646	topic 17	topic 28	topic 36
22082	topic 5	topic 9	topic 1
111400	topic 3	topic 38	topic 30
159478	topic 10	topic 18	topic 27
6077	topic 0	topic 5	topic 27
14530	topic 18	topic 13	topic 32
117071	topic 28	topic 35	topic 42
118342	topic 1	topic 48	topic 2
2211	topic 38	topic 14	topic 39
10756	topic 39	topic 10	topic 47
20695	topic 44	topic 18	topic 19
112109	topic 34	topic 38	topic 11
4660	topic 22	topic 18	topic 16
115666	topic 28	topic 16	topic 7
11448	topic 39	topic 16	topic 7
193359	topic 28	topic 17	topic 49
119074	topic 30	topic 10	topic 47
184625	topic 10	topic 4	topic 15
116347	topic 28	topic 17	topic 27
8072	topic 31	topic 19	topic 46
159450	topic 7	topic 0	topic 18
117059	topic 29	topic 24	topic 30
13277	topic 42	topic 48	topic 10
163900	topic 30	topic 3	topic 7
115896	topic 24	topic 17	topic 39
4648	topic 22	topic 40	topic 18
134858	topic 14	topic 39	topic 47
112121	topic 38	topic 30	topic 24
11460	topic 39	topic 27	topic 3
3127	topic 5	topic 18	topic 7
20865	topic 44	topic 3	topic 24
29699	topic 2	topic 10	topic 38
3641	topic 8	topic 36	topic 10
38794	topic 21	topic 46	topic 19
113559	topic 21	topic 2	topic 14
19982	topic 47	topic 14	topic 23
36961	topic 47	topic 26	topic 3
10018	topic 29	topic 32	topic 0
114236	topic 4	topic 48	topic 18
6739	topic 49	topic 13	topic 14
33819	topic 40	topic 19	topic 36
158028	topic 5	topic 49	topic 16
150474	topic 33	topic 49	topic 16
116421	topic 19	topic 28	topic 27
100257	topic 38	topic 23	topic 24
8700	topic 47	topic 24	topic 37
