	id	dominant_topic	perc_contribution
0	186989	0	0.6656312374995111
1	3644	11	0.7462553550092582
2	38949	43	0.648374720251581
3	114233	40	0.6945567089727079
4	19987	20	0.9837017192862106
5	186751	44	0.8389309355894219
6	36964	40	0.656257547170349
7	38791	21	0.28940880870234925
8	118409	4	0.6338542060124344
9	100246	49	0.6636787547698351
10	116424	9	0.8004090804011208
11	150471	35	0.5424743778084593
12	8711	13	0.43112230374850047
13	8077	26	0.30135711299435497
14	119071	18	0.5854188565416845
15	116342	9	0.9195509598679473
16	13272	23	0.7326263964281391
17	115893	32	0.3534444955420007
18	114555	33	0.5802016321240843
19	186037	49	0.4647827449494771
20	189304	3	0.323349218612809
21	11465	14	0.4468965505833679
22	3122	10	0.5553578636836424
23	20860	15	0.7344878070588968
24	112124	49	0.48953312532210763
25	115887	49	0.3506947366079466
26	186023	0	0.6962906307401894
27	114541	12	0.5886978632708942
28	2228	26	0.4404121795382567
29	11471	12	0.4466909840511395
30	20874	15	0.5897490007115281
31	3136	14	0.26307635897252885
32	4659	2	0.8301541762570658
33	180452	39	0.3108903701414718
34	111439	49	0.9128817041073052
35	8063	26	0.4317233135381126
36	193348	30	0.27614006403747676
37	184634	23	0.5125064441447024
38	116356	9	0.970686912559892
39	158987	19	0.22055270767766416
40	13266	23	0.6066447349451498
41	156014	49	0.42121658667678213
42	6728	27	0.25508963744313573
43	100252	0	0.36350787946199026
44	13500	44	0.16032379309891984
45	161860	49	0.6721542917783826
46	150465	35	0.5488559968299642
47	8705	14	0.31540906252740997
48	3650	11	0.6585801066146731
49	36970	40	0.647622049459797
50	186745	44	0.8243369822160584
51	19993	13	0.4865717338842226
52	10009	49	0.35739351913888295
53	114227	40	0.5363112648766882
54	38785	26	0.2786950876667345
55	34197	40	0.3417460488301738
56	117706	0	0.7900434632765845
57	13528	28	0.38013381986507816
58	116418	9	0.9654844211195562
59	33820	19	0.7486270010958805
60	157322	3	0.6090051598890512
61	3678	11	0.8309599599601494
62	188740	21	0.7865449080419914
63	26593	26	0.5221503122256096
64	2566	3	0.3220249110575068
65	10021	12	0.34883599741824733
66	36958	40	0.431116935679896
67	155535	21	0.7758954896870067
68	20684	15	0.8416405123856022
69	2200	8	0.32634550963436754
70	10747	14	0.49382562873589253
71	114569	32	0.3918941254380876
72	4671	2	0.6477550518552344
73	22093	25	0.43713418432063855
74	12150	20	0.9685160708039063
75	118353	4	0.9355282452497691
76	6066	4	0.7510033123626476
77	22087	1	0.5437813012406125
78	157450	18	0.47217125989226943
79	184608	40	0.4178429237180896
80	119059	18	0.3874605935985945
81	14535	1	0.8316284008719297
82	20690	15	0.659100267458413
83	2214	8	0.5261073804450878
84	191563	49	0.652032770318527
85	10753	12	0.44694907920357796
86	20848	15	0.5917749738734425
87	115663	9	0.8332068649174548
88	187301	16	0.4604646833486598
89	4665	2	0.6157494903845033
90	163093	7	0.27917594346110114
91	38961	23	0.30862832352580943
92	26587	42	0.2639160059318565
93	186779	44	0.7189331400524231
94	10035	0	0.3359435370743953
95	155521	21	0.34350004051773325
96	34183	40	0.4670976177012128
97	6714	40	0.2098905516136813
98	117712	0	0.4214077191849811
99	149108	11	0.46797571869100146
100	150459	35	0.5717451578042573
101	148216	42	0.45826260771711214
102	33834	19	0.7165614725341611
103	32519	3	0.4372396809774106
104	6927	26	0.3209618159515484
105	117921	0	0.8351516642573397
106	129617	12	0.3825673997143686
107	34168	40	0.4768323976988905
108	12811	23	0.5583661153236713
109	186792	44	0.871416054828749
110	19944	33	0.22042450291827065
111	2599	3	0.30371184358998327
112	21203	43	0.393212460232046
113	163078	18	0.5894990771488341
114	3687	11	0.8831896390913077
115	36019	39	0.2456583776984326
116	10960	31	0.4455603331757359
117	180485	40	0.27307984913574973
118	21565	24	0.6025583010026097
119	115850	3	0.27007389672328597
120	162400	3	0.4115869960346019
121	27114	36	0.6019437283577207
122	191588	36	0.24562849999103417
123	161109	18	0.551759795992811
124	6099	4	0.7459781882023232
125	178458	7	0.22680550066759297
126	35510	1	0.4408393457672374
127	25703	42	0.3799478927756143
128	116381	9	0.7516787323006605
129	24409	27	0.534784241439828
130	158944	13	0.337957779608594
131	159482	27	0.713052882550978
132	35504	21	0.5387974385983398
133	156969	8	0.614252091144369
134	116395	9	0.5595778714063341
135	164065	13	0.4048855899849349
136	31762	7	0.4439919545996003
137	10974	41	0.35188483836538365
138	21571	24	0.6510486912273759
139	180491	30	0.24877393960665317
140	115844	49	0.6907764379794807
141	114582	3	0.5593945971879527
142	27100	10	0.3832140570737623
143	19950	32	0.2517190321766313
144	186786	44	0.8572287479703028
145	27666	29	0.739223389910513
146	20109	12	0.443765961021595
147	188973	4	0.5988663972280135
148	21217	21	0.7019930232347625
149	3693	11	0.8690763106404412
150	129603	20	0.7012789240068169
151	117935	0	0.8731504490993395
152	179034	0	0.3997547197743136
153	12805	22	0.5557163788862746
154	176307	18	0.39825522155571985
155	19978	20	0.9709858048398117
156	20121	48	0.41599496552528037
157	186976	0	0.42764985253440857
158	32525	32	0.3370994867057679
159	192903	9	0.2816234380484734
160	34154	43	0.6804910456061267
161	8936	12	0.25546291625006196
162	118390	39	0.4401460887974625
163	34632	40	0.3214279850353797
164	8088	42	0.35168761360336864
165	22050	24	0.4838528259127794
166	1912	29	0.3668819231829474
167	21559	24	0.8693724827765223
168	36025	7	0.34129831202144273
169	27128	24	0.2765722542321866
170	10784	1	0.6248169814777694
171	162428	36	0.3985442656641875
172	115878	13	0.3924010182157781
173	158978	21	0.44809103854358584
174	13299	23	0.5400186987861435
175	184813	40	0.5930035259532965
176	34626	40	0.27361816817268186
177	147858	4	0.7446599255801523
178	1906	41	0.47829115105215536
179	157493	18	0.8294541979921436
180	147680	30	0.48948053822387555
181	32531	13	0.2907668237065567
182	160559	3	0.5163307425073412
183	12839	19	0.29335728964352964
184	34140	40	0.27890929598588765
185	179008	44	0.6656467782928114
186	24353	4	0.4193082842723786
187	8922	25	0.5435299267774045
188	20135	18	0.2712174521277118
189	186962	30	0.37924354381376896
