	incnormid	recordid	bronid	w_g	herdrukid	year	top1	top2	top3
77	231.0	32841	1010998	geestelijk	916110.0	1671.0	topic 1	topic 46	topic 4
78	231.0	34739	1015344	geestelijk	925715.0	1701.0	topic 1	topic 46	topic 4
79	231.0	191536	1010250	geestelijk		1736.0	topic 1	topic 46	topic 4
80	231.0	32841	1001567	geestelijk		1645.0	topic 1	topic 46	topic 4
81	231.0	34739	1011324	geestelijk		1684.0	topic 1	topic 46	topic 4
82	238.0	33686	1011046	geestelijk		1654.0	topic 40	topic 44	topic 5
83	240.0	20385	1001034	wereldlijk		1647.0	topic 10	topic 41	topic 3
84	240.0	114044	1001171	wereldlijk		1649.0	topic 10	topic 41	topic 3
85	240.0	10364	1000837	wereldlijk		1645.0	topic 10	topic 41	topic 3
86	242.0	33531	1011034	geestelijk		1614.0	topic 15	topic 9	topic 5
87	243.0	147554	1001829	wereldlijk		1746.0	topic 3	topic 32	topic 11
88	244.0	115471	1001167	wereldlijk		1678.0	topic 3	topic 26	topic 11
89	244.0	115509	1001153	wereldlijk		1682.0	topic 3	topic 26	topic 11
90	244.0	116286	1001162	wereldlijk		1678.0	topic 3	topic 26	topic 11
91	244.0	147555	1001642	wereldlijk		1681.0	topic 3	topic 26	topic 11
92	245.0	147556	1001829	wereldlijk		1746.0	topic 3	topic 30	topic 19
93	249.0	192830	1001887	wereldlijk		1721.0	topic 30	topic 11	topic 3
94	249.0	147561	1001829	wereldlijk		1746.0	topic 30	topic 11	topic 3
95	253.0	185691	1016347	geestelijk		1655.0	topic 31	topic 46	topic 1
96	253.0	185691	1016205	geestelijk	928865.0	1664.0	topic 31	topic 46	topic 1
97	253.0	9352	1007775	geestelijk		1600.0	topic 31	topic 46	topic 1
98	255.0	147562	1001829	wereldlijk		1746.0	topic 32	topic 31	topic 12
99	255.0	175842	1015648	wereldlijk		1663.0	topic 32	topic 31	topic 12
100	257.0	24408	1000406	geestelijk		1590.0	topic 9	topic 42	topic 1
101	257.0	3941	1000185	geestelijk	900298.0	1576.0	topic 9	topic 42	topic 1
102	257.0	7152	1000178	geestelijk		1577.0	topic 9	topic 42	topic 1
103	257.0	197158	1001856	geestelijk		1617.0	topic 9	topic 42	topic 1
104	258.0	28610	1006719	geestelijk		1580.0	topic 36	topic 21	topic 9
105	259.0	165276	1010901	wereldlijk		1695.0	topic 11	topic 3	topic 24
106	259.0	147563	1016224	wereldlijk		1730.0	topic 11	topic 3	topic 24
107	259.0	122675	1016405	wereldlijk		1684.0	topic 11	topic 3	topic 24
108	259.0	192258	1017307	wereldlijk		1675.0	topic 11	topic 3	topic 24
109	259.0	165276	1001831	wereldlijk	916126.0	1703.0	topic 11	topic 3	topic 24
110	259.0	151174	1001829	wereldlijk		1746.0	topic 11	topic 3	topic 24
111	259.0	122675	1001862	wereldlijk	929281.0	1717.0	topic 11	topic 3	topic 24
112	259.0	115731	1001164	wereldlijk		1694.0	topic 11	topic 3	topic 24
113	259.0	167812	1001413	wereldlijk		1680.0	topic 11	topic 3	topic 24
